User_Type,Weight_Profile,Model,k,HitRate,NDCG,unSerendipity,Train_Scenario,trainable
cold,None,bge,2,0.0,0.0,0.5947171,2,True
cold,None,bge,4,0.0,0.0,0.5857475,2,True
cold,None,bge,6,0.0,0.0,0.5833207,2,True
cold,None,bge,8,0.0,0.0,0.5796067,2,True
cold,None,bge,10,0.0,0.0,0.5745592,2,True
cold,None,bge,12,0.0,0.0,0.57291955,2,True
cold,None,bge,14,0.0,0.0,0.5710396,2,True
cold,None,bge,16,0.0,0.0,0.56942546,2,True
cold,None,bge,18,0.0,0.0,0.56821924,2,True
cold,None,bge,20,0.0,0.0,0.5665536,2,True
cold,None,bge,30,0.0,0.0,0.5619471,2,True
cold,None,bge,50,0.0,0.0,0.5531001,2,True
cold,None,openai,2,0.0,0.0,0.552478,2,True
cold,None,openai,4,0.0,0.0,0.54430264,2,True
cold,None,openai,6,0.0,0.0,0.53931653,2,True
cold,None,openai,8,0.0,0.0,0.53433645,2,True
cold,None,openai,10,0.0,0.0,0.5292787,2,True
cold,None,openai,12,0.006622516556291391,0.0017896566518365545,0.52537566,2,True
cold,None,openai,14,0.006622516556291391,0.0017896566518365545,0.52222174,2,True
cold,None,openai,16,0.006622516556291391,0.0017896566518365545,0.5195568,2,True
cold,None,openai,18,0.006622516556291391,0.0017896566518365545,0.51693165,2,True
cold,None,openai,20,0.006622516556291391,0.0017896566518365545,0.5152731,2,True
cold,None,openai,30,0.006622516556291391,0.0017896566518365545,0.50657606,2,True
cold,None,openai,50,0.006622516556291391,0.0017896566518365545,0.49360803,2,True
cold,None,gemini,2,0.0,0.0,0.66879416,2,True
cold,None,gemini,4,0.0,0.0,0.6646272,2,True
cold,None,gemini,6,0.0,0.0,0.6603664,2,True
cold,None,gemini,8,0.0,0.0,0.6586825,2,True
cold,None,gemini,10,0.0,0.0,0.658076,2,True
cold,None,gemini,12,0.0,0.0,0.656281,2,True
cold,None,gemini,14,0.0,0.0,0.6541854,2,True
cold,None,gemini,16,0.0,0.0,0.6521511,2,True
cold,None,gemini,18,0.0,0.0,0.65138596,2,True
cold,None,gemini,20,0.0,0.0,0.65045434,2,True
cold,None,gemini,30,0.0,0.0,0.6457196,2,True
cold,None,gemini,50,0.0,0.0,0.6375266,2,True
cold,None,harrier,2,0.0,0.0,0.6138713,2,True
cold,None,harrier,4,0.0,0.0,0.60330164,2,True
cold,None,harrier,6,0.0,0.0,0.5979155,2,True
cold,None,harrier,8,0.0,0.0,0.5935178,2,True
cold,None,harrier,10,0.0,0.0,0.5887793,2,True
cold,None,harrier,12,0.0,0.0,0.58547693,2,True
cold,None,harrier,14,0.0,0.0,0.583396,2,True
cold,None,harrier,16,0.0,0.0,0.58040106,2,True
cold,None,harrier,18,0.0,0.0,0.57937723,2,True
cold,None,harrier,20,0.0,0.0,0.577415,2,True
cold,None,harrier,30,0.0,0.0,0.5723207,2,True
cold,None,harrier,50,0.0,0.0,0.5640914,2,True
cold,None,qwen,2,0.0,0.0,0.5440584,2,True
cold,None,qwen,4,0.0,0.0,0.5317971,2,True
cold,None,qwen,6,0.0,0.0,0.524735,2,True
cold,None,qwen,8,0.006622516556291391,0.0020891713694419123,0.5197954,2,True
cold,None,qwen,10,0.006622516556291391,0.0020891713694419123,0.51488215,2,True
cold,None,qwen,12,0.006622516556291391,0.0020891713694419123,0.509966,2,True
cold,None,qwen,14,0.006622516556291391,0.0020891713694419123,0.5074283,2,True
cold,None,qwen,16,0.006622516556291391,0.0020891713694419123,0.5043563,2,True
cold,None,qwen,18,0.006622516556291391,0.0020891713694419123,0.50126255,2,True
cold,None,qwen,20,0.006622516556291391,0.0020891713694419123,0.49908558,2,True
cold,None,qwen,30,0.006622516556291391,0.0020891713694419123,0.48872784,2,True
cold,None,qwen,50,0.013245033112582781,0.003317310597358262,0.47357345,2,True
all,weight_1,w2v,2,0.0,0.0,0.8891015,3,True
all,weight_1,w2v,4,0.001579778830963665,0.0007898894154818325,0.88909143,3,True
all,weight_1,w2v,6,0.001579778830963665,0.0007898894154818325,0.88903946,3,True
all,weight_1,w2v,8,0.001579778830963665,0.0007898894154818325,0.88908446,3,True
all,weight_1,w2v,10,0.004739336492890996,0.0017032064022682082,0.888933,3,True
all,weight_1,w2v,12,0.00631911532385466,0.0021301229179511777,0.88890386,3,True
all,weight_1,w2v,14,0.00631911532385466,0.0021301229179511777,0.8888578,3,True
all,weight_1,w2v,16,0.00631911532385466,0.0021301229179511777,0.88879585,3,True
all,weight_1,w2v,18,0.00631911532385466,0.0021301229179511777,0.88873434,3,True
all,weight_1,w2v,20,0.00631911532385466,0.0021301229179511777,0.8886522,3,True
all,weight_1,w2v,30,0.014218009478672985,0.0038309272757809185,0.8884363,3,True
all,weight_1,w2v,50,0.020537124802527645,0.005014729275299182,0.8879919,3,True
all,weight_1,bert,2,0.0,0.0,0.8698314,3,True
all,weight_1,bert,4,0.0,0.0,0.8697878,3,True
all,weight_1,bert,6,0.00315955766192733,0.0012222837511359926,0.869765,3,True
all,weight_1,bert,8,0.00315955766192733,0.0012222837511359926,0.8696019,3,True
all,weight_1,bert,10,0.00315955766192733,0.0012222837511359926,0.8695662,3,True
all,weight_1,bert,12,0.00631911532385466,0.002103620072308599,0.869519,3,True
all,weight_1,bert,14,0.009478672985781991,0.002912334210728237,0.86943895,3,True
all,weight_1,bert,16,0.01263823064770932,0.003693772665891311,0.86933094,3,True
