Model,Hidden_Dim,Layers,Heads,LR,Trainable,k,HitRate,NDCG,unSerendipity
qwen,512,1,3,1e-05,True,20,0.07109004739336493,0.03737384986335332,0.8614695
qwen,512,1,3,1e-05,False,10,0.05687203791469194,0.042129482671836964,0.396709
qwen,512,1,3,1e-05,False,20,0.07582938388625593,0.04679205549756214,0.3967908
word2vec,512,2,1,0.0001,True,10,0.009478672985781991,0.005807136861852179,0.8430469
word2vec,512,2,1,0.0001,True,20,0.023696682464454975,0.009306568318480217,0.8427472
word2vec,512,2,1,0.0001,False,10,0.014218009478672985,0.009995101728615518,0.5565195
word2vec,512,2,1,0.0001,False,20,0.023696682464454975,0.012443613575403797,0.5589041
bert_multi,512,2,1,0.0001,True,10,0.04739336492890995,0.030143144369289047,0.8194831
bert_multi,512,2,1,0.0001,True,20,0.0679304897314376,0.03521262180002348,0.81893075
bert_multi,512,2,1,0.0001,False,10,0.01579778830963665,0.010363761763172467,0.844673
bert_multi,512,2,1,0.0001,False,20,0.022116903633491312,0.01198020326901553,0.8425902
qwen,512,2,1,0.0001,True,10,0.044233807266982623,0.025555279644025652,0.83910495
qwen,512,2,1,0.0001,True,20,0.05845181674565561,0.02897419895499281,0.8387604
qwen,512,2,1,0.0001,False,10,0.053712480252764615,0.040762792486553345,0.43524218
qwen,512,2,1,0.0001,False,20,0.06951026856240126,0.04479661086554779,0.4330128
word2vec,512,2,1,1e-05,True,10,0.023696682464454975,0.014632742734036582,0.88740665
word2vec,512,2,1,1e-05,True,20,0.036334913112164295,0.01779550122708547,0.8871599
word2vec,512,2,1,1e-05,False,10,0.020537124802527645,0.008597926427013052,0.7346354
word2vec,512,2,1,1e-05,False,20,0.03317535545023697,0.01169040761787682,0.7386431
bert_multi,512,2,1,1e-05,True,10,0.037914691943127965,0.024307570083377927,0.7710063
bert_multi,512,2,1,1e-05,True,20,0.053712480252764615,0.028155490645516923,0.77049166
bert_multi,512,2,1,1e-05,False,10,0.0315955766192733,0.023687394835208788,0.8332231
bert_multi,512,2,1,1e-05,False,20,0.04107424960505529,0.026079811151169755,0.8314888
qwen,512,2,1,1e-05,True,10,0.04739336492890995,0.02400634005924268,0.8442049
qwen,512,2,1,1e-05,True,20,0.053712480252764615,0.025538523190448043,0.8438572
